fram.stock.id,fram.fishery.id,tamm.worksheet.name,tamm.cell.row,tamm.cell.col,comment
139,68,2,38,31,Queets Wild Unmarked Wild in Treaty Net (CHECK FRAM FISHERY ID)
139,65,2,39,31,Queets Wild Unmarked Wild in Sport (CHECK FRAM FISHERY ID)
139,66,,,,Queets Wild Unmarked zeroed out
139,67,,,,Queets Wild Unmarked zeroed out
139,69,,,,Queets Wild Unmarked zeroed out
140,68,,,,Queets Wild Marked zeroed out
140,65,,,,Queets Wild Marked zeroed out
140,66,,,,Queets Wild Marked zeroed out
140,67,,,,Queets Wild Marked zeroed out
140,69,,,,Queets Wild Marked zeroed out
131,71,2,38,26,Quillayute Wild Unmarked in Treaty Net
131,70,2,39,26,Quillayute Wild Unmarked in Sport
131,72,,,,Quillayute Wild Unmarked C&S zeroed out
132,71,,,,Quillayute Wild Marked zeroed out
132,70,,,,Quillayute Wild Marked zeroed out
132,72,,,,Quillayute Wild Marked zeroed out
