Person Name:AHB
FRAM Run Name:BkCoho18 01
FRAM Run ID:385
FRAM DB Name:C:\Users\obrienm\Desktop\git_src\PSC-FRAM-Admin\fram db\devloping BK2018 - test2.mdb
-------------------------------------------------------------
"fram.stock.name","fram.stock.id","escapement.flag","target.escapement","recruit.scalar","comment"
"Nooksack River Wild UnMarked",1,0,0,1.7587,
"Nooksack River Wild Marked",2,0,0,0,
"Kendall Creek Hatchery UnMarked",3,0,0,0,
"Kendall Creek Hatchery Marked",4,0,0,0,
"Skookum Creek Hatchery UnMarked",5,0,0,0.0112,
"Skookum Creek Hatchery Marked",6,0,0,0.5805,
"Lummi Ponds Hatchery UnMarked",7,0,0,0.0105,
"Lummi Ponds Hatchery Marked",8,0,0,0.5053,
"Bellingham Bay Net Pens UnMarked",9,0,0,0,
"Bellingham Bay Net Pens Marked",10,0,0,0,
"Samish River Wild UnMarked",11,0,0,0.0501,
"Samish River Wild Marked",12,0,0,0,
"Area 7/7A Independent Wild UnMarked",13,0,0,1.0173,
"Area 7/7A Independent Wild Marked",14,0,0,0,
"Whatcom Creek Hatchery UnMarked",15,0,0,0,
"Whatcom Creek Hatchery Marked",16,0,0,0,
"Skagit River Wild UnMarked",17,0,0,0.692,
"Skagit River Wild Marked",18,0,0,0,
"Skagit River Hatchery UnMarked",19,0,0,0.1414,
"Skagit River Hatchery Marked",20,0,0,0.6812,
"Baker (Skagit) Hatchery UnMarked",21,0,0,0,
"Baker (Skagit) Hatchery Marked",22,0,0,0.8843,
"Baker (Skagit) Wild UnMarked",23,0,0,0.4785,
"Baker (Skagit) Wild Marked",24,0,0,0,
"Swinomish Channel Hatchery UnMarked",25,0,0,0,
"Swinomish Channel Hatchery Marked",26,0,0,0,
"Oak Harbor Net Pens UnMarked",27,0,0,0,
"Oak Harbor Net Pens Marked",28,0,0,0,
"Stillaguamish River Wild UnMarked",29,0,0,0.9125,
"Stillaguamish River Wild Marked",30,0,0,0,
"Stillaguamish River Hatchery UnMarked",31,0,0,0,
"Stillaguamish River Hatchery Marked",32,0,0,0,
"Tulalip Hatchery UnMarked",33,0,0,0.0047,
"Tulalip Hatchery Marked",34,0,0,0.66,
"Snohomish River Wild UnMarked",35,0,0,0.6331,
"Snohomish River Wild Marked",36,0,0,0,
"Snohomish River Hatchery UnMarked",37,0,0,0.0911,
"Snohomish River Hatchery Marked",38,0,0,0.203,
"Area 8A Net Pens UnMarked",39,0,0,0,
"Area 8A Net Pens Marked",40,0,0,0,
"Port Gamble Net Pens UnMarked",41,0,0,0.009,
"Port Gamble Net Pens Marked",42,0,0,0.7242,
"Port Gamble Bay Wild UnMarked",43,0,0,6.0436,
"Port Gamble Bay Wild Marked",44,0,0,0,
"Area 12/12B Wild UnMarked",45,0,0,1.0928,
"Area 12/12B Wild Marked",46,0,0,0,
"Quilcene Bay Net Pens UnMarked",49,0,0,0,
"Quilcene Bay Net Pens Marked",50,0,0,0,
"Area 12A Wild UnMarked",51,0,0,0.1515,
"Area 12A Wild Marked",52,0,0,0,
"Hoodsport Hatchery UnMarked",53,0,0,0,
"Hoodsport Hatchery Marked",54,0,0,0,
"Area 12C/12D Wild UnMarked",55,0,0,1.1168,
"Area 12C/12D Wild Marked",56,0,0,0,
"George Adams Hatchery UnMarked",57,0,0,0.1933,
"George Adams Hatchery Marked",58,0,0,1.1407,
"Skokomish River Wild UnMarked",59,0,0,0.1427,
"Skokomish River Wild Marked",60,0,0,0,
"Area 13B Miscellaneous Wild UnMarked",61,0,0,0.09,
"Area 13B Miscellaneous Wild Marked",62,0,0,0,
"Deschutes River (WA) Wild UnMarked",63,0,0,0.007,
"Deschutes River (WA) Wild Marked",64,0,0,0,
"South Puget Sound Net Pens UnMarked",65,0,0,0.001,
"South Puget Sound Net Pens Marked",66,0,0,0.081,
"Nisqually River Hatchery UnMarked",67,0,0,1e-04,
"Nisqually River Hatchery Marked",68,0,0,0.0795,
"Nisqually River Wild UnMarked",69,0,0,0.0702,
"Nisqually River Wild Marked",70,0,0,0,
"Fox Island Net Pens UnMarked",71,0,0,0,
"Fox Island Net Pens Marked",72,0,0,0,
"Minter Creek Hatchery UnMarked",73,0,0,9e-04,
"Minter Creek Hatchery Marked",74,0,0,0.1223,
"Area 13 Miscellaneous Wild UnMarked",75,0,0,0.09,
"Area 13 Miscellaneous Wild Marked",76,0,0,0,
"Chambers Creek Hatchery UnMarked",77,0,0,0,
