Person Name=ALL
FRAM Run Name=BkCoho18 01
FRAM Run ID=385
FRAM DB Name=C:\Users\obrienm\Desktop\git_src\PSC-FRAM-Admin\fram db\devloping BK2018 - test2.mdb
-------------------------------------------------------------
"fram.fishery.name","fram.fishery.id","fram.time.step","fishery.flag","nonselective.catch","msf.catch","cnr.mortalities","mark.release.rate","mark.missid.rate","unmark.missid.rate","mark.incidental.rate","comment.cnr","comment.catch"
"No Calif Cst Terminal Catch",1,5,2,0,0,0,0,0,0,0,"",""
"Fort Bragg Sport",3,1,2,0,0,36,0,0,0,0,"CNR Model",""
"Fort Bragg Sport",3,2,2,0,0,27,0,0,0,0,"CNR Model",""
"Fort Bragg Sport",3,3,2,0,0,6,0,0,0,0,"CNR Model",""
"Fort Bragg Sport",3,4,2,0,0,0,0,0,0,0,"CNR Model",""
"Fort Bragg Troll",4,1,2,0,0,0,0,0,0,0,"TIM Model",""
"Fort Bragg Troll",4,2,2,0,0,33,0,0,0,0,"TIM Model",""
"Fort Bragg Troll",4,3,2,0,0,49,0,0,0,0,"TIM Model",""
"Fort Bragg Troll",4,4,2,0,0,0,0,0,0,0,"TIM Model",""
"KMZ Sport",5,1,2,0,0,126,0,0,0,0,"CNR Model",""
"KMZ Sport",5,2,2,0,0,38,0,0,0,0,"CNR Model",""
"KMZ Sport",5,3,2,0,0,15,0,0,0,0,"CNR Model",""
"KMZ Sport",5,4,2,0,0,0,0,0,0,0,"CNR Model",""
"KMZ Troll",6,1,2,0,0,293,0,0,0,0,"TIM Model",""
"KMZ Troll",6,2,2,0,0,50,0,0,0,0,"TIM Model",""
"KMZ Troll",6,3,2,0,0,56,0,0,0,0,"TIM Model",""
"KMZ Troll",6,4,2,0,0,0,0,0,0,0,"TIM Model",""
"KMZ Troll",6,5,2,0,0,0,0,0,0,0,"TIM Model",""
"So Calif. Sport",7,1,2,0,0,17,0,0,0,0,"CNR Model",""
"So Calif. Sport",7,2,2,0,0,24,0,0,0,0,"CNR Model",""
"So Calif. Sport",7,3,2,0,0,4,0,0,0,0,"CNR Model",""
"So Calif. Sport",7,4,2,0,0,1,0,0,0,0,"CNR Model",""
"So Calif. Troll",8,1,2,0,0,0,0,0,0,0,"TIM Model",""
"So Calif. Troll",8,2,2,0,0,3,0,0,0,0,"TIM Model",""
"So Calif. Troll",8,3,2,0,0,6,0,0,0,0,"TIM Model",""
"So Calif. Troll",8,4,2,0,0,1,0,0,0,0,"TIM Model",""
"So Ore Coast Terminal Catch",9,5,2,0,0,82,0,0,0,0,"Esc. * .10 contact rate * .10 HM",""
"Ore Private Hat Term Catch",10,5,1,0,0,0,0,0,0,0,"",""
"So Mid Ore Coast Term Catch",11,5,2,211,0,441,0,0,0,0,"(Catch OPITT)(Esc. * .10 contact rate * .10 HM)","(Catch OPITT)(Esc. * .10 contact rate * .10 HM)"
"No Mid Ore Coast Term Catch",12,5,2,0,0,220,0,0,0,0,"(Catch OPITT)(Esc. * .10 contact rate * .10 HM)","(Catch OPITT)(Esc. * .10 contact rate * .10 HM)"
"North Ore Coast Term Catch",13,5,2,0,0,80,0,0,0,0,"(Catch OPITT)(Esc. * .10 contact rate * .10 HM)","(Catch OPITT)(Esc. * .10 contact rate * .10 HM)"
"Brookings Sport",15,1,2,0,0,35,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Brookings Sport",15,2,2,0,0,114,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Brookings Sport",15,3,2,0,0,97,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Brookings Sport",15,4,2,0,0,0,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Brookings Sport",15,5,2,0,0,1,0,0,0,0,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Brookings Troll",16,1,2,0,0,15,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Brookings Troll",16,2,2,0,0,18,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Brookings Troll",16,3,2,0,0,2,0,0,0,0,,"(Catch Review A tables) TIM Model"
"Brookings Troll",16,4,2,0,0,0,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Newport Sport",17,1,8,0,2,22,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Newport Sport",17,2,8,0,2125,0,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Newport Sport",17,3,8,0,6042,0,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Newport Sport",17,4,2,3095,0,100,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Newport Troll",18,1,2,0,0,105,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Newport Troll",18,2,2,0,0,102,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Newport Troll",18,3,2,0,0,246,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Newport Troll",18,4,2,0,0,10,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Coos Bay Sport",19,1,8,0,4,39,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Coos Bay Sport",19,2,8,0,579,0,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Coos Bay Sport",19,3,8,0,887,0,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Coos Bay Sport",19,4,2,2983,0,97,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Coos Bay Troll",20,1,2,0,0,128,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Coos Bay Troll",20,2,2,0,0,31,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Coos Bay Troll",20,3,2,0,0,22,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Coos Bay Troll",20,4,2,0,0,2,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Tillamook Sport",21,1,8,0,25,15,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Tillamook Sport",21,2,8,0,274,0,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Tillamook Sport",21,3,8,0,1652,0,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Tillamook Sport",21,4,2,858,0,100,0.14,0.06,0.02,0.05,"(Catch Review A tables) CNR Model","(Catch Review A tables) CNR Model"
"Tillamook Troll",22,1,2,0,0,41,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Tillamook Troll",22,2,2,0,0,3,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Tillamook Troll",22,3,2,0,0,16,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Tillamook Troll",22,4,2,0,0,3,0,0,0,0,"(Catch Review A tables) TIM Model","(Catch Review A tables) TIM Model"
"Col. Rvr. Buoy 10 Sport",23,2,1,0,0,0,0,0,0,0,,""
"Col. Rvr. Buoy 10 Sport",23,3,1,0,0,0,0,0,0,0,,""
"Col. Rvr. Buoy 10 Sport",23,4,8,0,25000,0,0.14,0.06,0.02,0.05,,""
"Col. Rvr. Buoy 10 Sport",23,5,1,0,0,0,0,0,0,0,,""
"Col. Rvr. Lower R Sport",24,5,1,407.3035,0,0,0,0,0,0,,""
"Col. Rvr. Lower R Net",25,4,1,0,0,0,0,0,0,0,,""
"Col. Rvr. Lower R Net",25,5,1,75238.8094,0,0,0,0,0,0,,""
"Col. Rvr. Youngs Bay Net",26,4,1,0,0,0,0,0,0,0,,""
"Col. Rvr. Youngs Bay Net",26,5,1,14451.369,0,0,0,0,0,0,,""
"Col. Rvr. Ore Trib Spt",27,5,1,1310.1415,0,0,0,0,0,0,,""
"Clackamas R Sport",28,5,1,374.8501,0,0,0,0,0,0,,""
"Sandy R Sport",29,5,1,703.9296,0,0,0,0,0,0,,""
"Col. Rvr. Wash Trib Spt",30,5,1,3258.2876,0,0,0,0,0,0,,""
"Col. Rvr. Sport Above Bonneville",31,5,1,0,0,0,0,0,0,0,,""
"Col. Rvr. Net Above Bonneville",32,4,1,0,0,0,0,0,0,0,,""
"Col. Rvr. Net Above Bonneville",32,5,1,0,0,0,0,0,0,0,,""
"WA Area 1 & Astoria Sport",33,1,8,0,993,0,0.14,0.06,0.02,0.05,,""
"WA Area 1 & Astoria Sport",33,2,8,0,4473,0,0.14,0.06,0.02,0.05,,""
"WA Area 1 & Astoria Sport",33,3,8,0,14677,0,0.14,0.06,0.02,0.05,,""
"WA Area 1 & Astoria Sport",33,4,8,0,857,0,0.14,0.06,0.02,0.05,,""
"WA Area 1 & Astoria Troll",34,1,2,0,0,1490,0,0,0,0,,""
"WA Area 1 & Astoria Troll",34,2,8,0,606,0,0.26,0.06,0.02,0.05,,""
"WA Area 1 & Astoria Troll",34,3,8,0,544,0,0.26,0.06,0.02,0.05,,""
"WA Area 1 & Astoria Troll",34,4,8,0,1038,0,0.26,0.06,0.02,0.05,,""
"WA Area 1 & Astoria Troll",34,5,1,0,0,0,0,0,0,0,,""
"WA Area 2 Non-Treaty Troll",35,1,2,0,0,860,0,0,0,0,,""
"WA Area 2 Non-Treaty Troll",35,2,8,0,669,0,0.26,0.06,0.02,0.05,,""
"WA Area 2 Non-Treaty Troll",35,3,8,0,743,0,0.26,0.06,0.02,0.05,,""
"WA Area 2 Non-Treaty Troll",35,4,8,0,672,0,0.26,0.06,0.02,0.05,,""
"WA Area 2 Treaty Troll",36,1,2,0,0,2,0,0,0,0,,""
"WA Area 2 Treaty Troll",36,2,2,62,0,0,0,0,0,0,,""
"WA Area 2 Treaty Troll",36,3,2,140,0,0,0,0,0,0,,""
"WA Area 2 Treaty Troll",36,4,2,70,0,0,0,0,0,0,,""
"WA Area 2 Sport",37,1,8,0,0,0,0.14,0.06,0.02,0.05,,""
"WA Area 2 Sport",37,2,8,0,6140,0,0.14,0.06,0.02,0.05,,""
"WA Area 2 Sport",37,3,8,0,8556,0,0.14,0.06,0.02,0.05,,""
"WA Area 2 Sport",37,4,8,0,844,0,0.14,0.06,0.02,0.05,,""
"WA Area 3 Non-Treaty Troll",38,1,2,0,0,194,0,0,0,0,,""
"WA Area 3 Non-Treaty Troll",38,2,8,0,313,0,0.26,0.06,0.02,0.05,,""
"WA Area 3 Non-Treaty Troll",38,3,8,0,659,0,0.26,0.06,0.02,0.05,,""
"WA Area 3 Non-Treaty Troll",38,4,8,0,244,0,0.26,0.06,0.02,0.05,,""
"WA Area 3 Treaty Troll",39,1,2,0,0,16,0,0,0,0,,""
"WA Area 3 Treaty Troll",39,2,2,1017,0,0,0,0,0,0,,""
"WA Area 3 Treaty Troll",39,3,2,2166,0,0,0,0,0,0,,""
"WA Area 3 Treaty Troll",39,4,2,535,0,0,0,0,0,0,,""
"WA Area 3 Sport",40,1,8,0,24,0,0.14,0.06,0.02,0.05,,""
"WA Area 3 Sport",40,2,8,0,172,0,0.14,0.06,0.02,0.05,,""
"WA Area 3 Sport",40,3,8,0,827,0,0.14,0.06,0.02,0.05,,""
"WA Area 3 Sport",40,4,8,0,67,0,0.14,0.06,0.02,0.05,,""
"WA Area 4 Sport",41,1,8,0,121,0,0.14,0.06,0.02,0.05,,""
"WA Area 4 Sport",41,2,8,0,2206,0,0.14,0.06,0.02,0.05,,""
"WA Area 4 Sport",41,3,8,0,1947,0,0.14,0.06,0.02,0.05,,""
"WA Area 4 Sport",41,4,8,0,95,0,0.14,0.06,0.02,0.05,,""
"WA Area 4/4B Non-Treaty Troll",42,1,2,0,0,57,0,0,0,0,,""
"WA Area 4/4B Non-Treaty Troll",42,2,8,0,21,0,0.26,0.06,0.02,0.05,,""
"WA Area 4/4B Non-Treaty Troll",42,3,8,0,50,0,0.26,0.06,0.02,0.05,,""
"WA Area 4/4B Non-Treaty Troll",42,4,8,0,42,0,0.26,0.06,0.02,0.05,,""
"WA Area 4/4B Non-Treaty Troll",42,5,2,0,0,0,0,0,0,0,,""
"WA Area 4/4B Treaty Troll",43,1,2,0,0,84,0,0,0,0,,""
"WA Area 4/4B Treaty Troll",43,2,2,1338,0,0,0,0,0,0,,""
"WA Area 4/4B Treaty Troll",43,3,2,4744,0,0,0,0,0,0,,""
"WA Area 4/4B Treaty Troll",43,4,2,2428,0,0,0,0,0,0,,""
"WA Area 4/4B Treaty Troll",43,5,2,0,0,3,0,0,0,0,,""
"WA Area 5-6-6C Troll",44,1,2,39,0,0,0,0,0,0,,""
"WA Area 5-6-6C Troll",44,2,2,14,0,0,0,0,0,0,,""
"WA Area 5-6-6C Troll",44,3,2,149,0,0,0,0,0,0,,""
"WA Area 5-6-6C Troll",44,4,2,81,0,0,0,0,0,0,,""
"WA Area 5-6-6C Troll",44,5,2,0,0,1,0,0,0,0,,""
"Willapa Bay Sport (2.1)",45,5,2,2837,0,0,0,0,0,0,,""
"Willapa Tributary Sport",46,5,2,2329,0,0,0,0,0,0,,""
"Willapa Bay & FW Trib Net",47,3,2,0,0,0,0,0,0,0,,""
"Willapa Bay & FW Trib Net",47,4,2,2113,0,0,0,0,0,0,,""
"Willapa Bay & FW Trib Net",47,5,2,3290,0,0,0,0,0,0,,""
"Grays Harbor Sport (2.2)",48,3,2,0,0,0,0,0,0,0,,""
"Grays Harbor Sport (2.2)",48,4,2,181,0,0,0,0,0,0,,""
"Grays Harbor Sport (2.2)",48,5,2,390,0,0,0,0,0,0,,""
"South Grays Harbor Sport",49,5,2,16,0,0,0,0,0,0,,""
"Grays Harbor Estuary Net",50,1,2,0,0,0,0,0,0,0,,""
"Grays Harbor Estuary Net",50,4,2,0,0,0,0,0,0,0,,""
"Grays Harbor Estuary Net",50,5,2,1487,0,0,0,0,0,0,,""
"Humptulips R Sport",51,5,2,1653,0,0,0,0,0,0,,""
