Person Name:CF
FRAM Run Name:BkCoho18 01
FRAM Run ID:385
FRAM DB Name:C:\Users\obrienm\Desktop\git_src\PSC-FRAM-Admin\fram db\devloping BK2018 - test.mdb
-------------------------------------------------------------
"fram.fishery.name","fram.fishery.id","fram.time.step","fishery.flag","nonselective.catch","msf.catch","cnr.mortalities","mark.release.rate","mark.missid.rate","unmark.missid.rate","mark.incidental.rate","comment.cnr","comment.catch"
"No Calif Cst Terminal Catch",1,5,1,20.2913,0,0,0,0,0,0,,
"Fort Bragg Sport",3,1,1,0,0,60,0,0,0,0,,
"Fort Bragg Sport",3,2,1,0,0,70,0,0,0,0,,
"Fort Bragg Sport",3,3,1,0,0,14,0,0,0,0,,
"Fort Bragg Sport",3,4,1,0,0,11,0,0,0,0,,
"Fort Bragg Troll",4,1,1,0,0,0,0,0,0,0,,
"Fort Bragg Troll",4,2,1,0,0,44,0,0,0,0,,
"Fort Bragg Troll",4,3,1,0,0,24,0,0,0,0,,
"Fort Bragg Troll",4,4,1,0,0,3,0,0,0,0,,
"KMZ Sport",5,1,1,0,0,236,0,0,0,0,,
"KMZ Sport",5,2,1,0,0,90,0,0,0,0,,
"KMZ Sport",5,3,1,0,0,49,0,0,0,0,,
"KMZ Sport",5,4,1,0,0,1,0,0,0,0,,
"KMZ Troll",6,1,1,0,0,720,0,0,0,0,,
"KMZ Troll",6,2,1,0,0,216,0,0,0,0,,
"KMZ Troll",6,3,1,0,0,125,0,0,0,0,,
"KMZ Troll",6,4,1,0,0,0,0,0,0,0,,
"KMZ Troll",6,5,1,0,0,0,0,0,0,0,,
"So Calif. Sport",7,1,1,0,0,34,0,0,0,0,,
"So Calif. Sport",7,2,1,0,0,33,0,0,0,0,,
"So Calif. Sport",7,3,1,0,0,6,0,0,0,0,,
"So Calif. Sport",7,4,1,0,0,3,0,0,0,0,,
"So Calif. Troll",8,1,1,0,0,69,0,0,0,0,,
"So Calif. Troll",8,2,1,0,0,6,0,0,0,0,,
"So Calif. Troll",8,3,1,0,0,12,0,0,0,0,,
"So Calif. Troll",8,4,1,0,0,6,0,0,0,0,,
"So Ore Coast Terminal Catch",9,5,1,14.2694,0,0,0,0,0,0,,
"Ore Private Hat Term Catch",10,5,1,0,0,0,0,0,0,0,,
"So Mid Ore Coast Term Catch",11,5,1,303.2394,0,255,0,0,0,0,,
"No Mid Ore Coast Term Catch",12,5,1,169.2858,0,0,0,0,0,0,,
"North Ore Coast Term Catch",13,5,1,111.6535,0,0,0,0,0,0,,
"Brookings Sport",15,1,1,0,0,48,0.14,0.06,0.02,0.05,,
"Brookings Sport",15,2,1,0,0,78,0.14,0.06,0.02,0.05,,
"Brookings Sport",15,3,1,0,0,86,0.14,0.06,0.02,0.05,,
"Brookings Sport",15,4,1,0,0,0,0.14,0.06,0.02,0.05,,
"Brookings Sport",15,5,1,0,0,0,0,0,0,0,,
"Brookings Troll",16,1,1,0,0,16,0,0,0,0,,
"Brookings Troll",16,2,1,0,0,13,0,0,0,0,,
"Brookings Troll",16,3,1,0,0,2,0,0,0,0,,
"Brookings Troll",16,4,1,0,0,0,0,0,0,0,,
"Newport Sport",17,1,8,0,229,55,0.14,0.06,0.02,0.05,,
"Newport Sport",17,2,8,0,6575,0,0.14,0.06,0.02,0.05,,
"Newport Sport",17,3,8,0,10222,0,0.14,0.06,0.02,0.05,,
"Newport Sport",17,4,28,1840,495,152,0.14,0.06,0.02,0.05,,
"Newport Troll",18,1,2,0,0,543,0,0,0,0,,
"Newport Troll",18,2,2,0,0,273,0,0,0,0,,
"Newport Troll",18,3,2,0,0,254,0,0,0,0,,
"Newport Troll",18,4,2,0,0,113,0,0,0,0,,
"Coos Bay Sport",19,1,8,0,131,213,0.14,0.06,0.02,0.05,,
"Coos Bay Sport",19,2,8,0,4826,0,0.14,0.06,0.02,0.05,,
"Coos Bay Sport",19,3,8,0,1750,0,0.14,0.06,0.02,0.05,,
"Coos Bay Sport",19,4,28,565,17,103,0.14,0.06,0.02,0.05,,
"Coos Bay Troll",20,1,2,0,0,481,0,0,0,0,,
"Coos Bay Troll",20,2,2,0,0,161,0,0,0,0,,
"Coos Bay Troll",20,3,2,0,0,147,0,0,0,0,,
"Coos Bay Troll",20,4,2,0,0,16,0,0,0,0,,
"Tillamook Sport",21,1,8,0,291,59,0.14,0.06,0.02,0.05,,
"Tillamook Sport",21,2,8,0,5319,0,0.14,0.06,0.02,0.05,,
"Tillamook Sport",21,3,8,0,4998,0,0.14,0.06,0.02,0.05,,
"Tillamook Sport",21,4,28,1094,148,152,0.14,0.06,0.02,0.05,,
"Tillamook Troll",22,1,2,0,0,163,0,0,0,0,,
"Tillamook Troll",22,2,2,0,0,52,0,0,0,0,,
"Tillamook Troll",22,3,2,0,0,46,0,0,0,0,,
"Tillamook Troll",22,4,2,0,0,39,0,0,0,0,, 
-------------------------------------------------------------
"fram.stock.name","fram.stock.id","escapement.flag","target.escapement","recruit.scalar","comment"
"Oregon North Coast Hatchery UnMarked",177,0,0,0.0076,
"Oregon North Coast Hatchery Marked",178,0,0,0.0575,
"Oregon North Coast Wild UnMarked",179,0,0,0.944,
"Oregon North Coast Wild Marked",180,0,0,0,
"Oregon North-Mid Coast Hatchery UnMarked",181,0,0,0.0076,
"Oregon North-Mid Coast Hatchery Marked",182,0,0,0.0575,
"Oregon North-Mid Coast Wild UnMarked",183,0,0,0.944,
"Oregon North-Mid Coast Wild Marked",184,0,0,0,
"Oregon South-Mid Coast Hatchery UnMarked",185,0,0,0.0076,
"Oregon South-Mid Coast Hatchery Marked",186,0,0,0.0575,
"Oregon South-Mid Coast Wild UnMarked",187,0,0,0.944,
"Oregon South-Mid Coast Wild Marked",188,0,0,0,
"Oregon Anadromous Hatchery UnMarked",189,0,0,0,
"Oregon Anadromous Hatchery Marked",190,0,0,0,
"Oregon Aqua-Foods Hatchery UnMarked",191,0,0,0,
"Oregon Aqua-Foods Hatchery Marked",192,0,0,0,
"Oregon South Coast Hatchery UnMarked",193,0,0,0.2491,
"Oregon South Coast Hatchery Marked",194,0,0,0.1804,
"Oregon South Coast Wild UnMarked",195,0,0,0.2148,
"Oregon South Coast Wild Marked",196,0,0,0,
"California North Coast Hatchery UnMarked",197,0,0,0.2491,
"California North Coast Hatchery Marked",198,0,0,0.1804,
"California North Coast Wild UnMarked",199,0,0,0.2148,
"California North Coast Wild Marked",200,0,0,0,
"California Central Coast Hatchery UnMarked",201,0,0,1,
"California Central Coast Hatchery Marked",202,0,0,1,
"California Central Coast Wild UnMarked",203,0,0,1,
"California Central Coast Wild Marked",204,0,0,0, 
