Person Name=DH
FRAM Run Name=BkCoho18 01
FRAM Run ID=385
FRAM DB Name=C:\Users\obrienm\Desktop\git_src\PSC-FRAM-Admin\fram db\devloping BK2018 - test2.mdb
-------------------------------------------------------------
"fram.fishery.name","fram.fishery.id","fram.time.step","fishery.flag","nonselective.catch","msf.catch","cnr.mortalities","mark.release.rate","mark.missid.rate","unmark.missid.rate","mark.incidental.rate","comment.cnr","comment.catch"
"WA Area 5-6-6C Troll",44,1,2,39,0,0,0,0,0,0,,""
"WA Area 5-6-6C Troll",44,2,2,14,0,0,0,0,0,0,,""
"WA Area 5-6-6C Troll",44,3,2,149,0,0,0,0,0,0,,""
"WA Area 5-6-6C Troll",44,4,2,81,0,0,0,0,0,0,,""
"WA Area 5-6-6C Troll",44,5,2,0,0,1,0,0,0,0,,""
"Willapa Bay & FW Trib Net",47,3,2,0,0,0,0,0,0,0,,""
"Willapa Bay & FW Trib Net",47,4,2,2113,0,0,0,0,0,0,,""
"Willapa Bay & FW Trib Net",47,5,2,3290,0,0,0,0,0,0,,""
"Grays Harbor Estuary Net",50,1,2,0,0,0,0,0,0,0,,""
"Grays Harbor Estuary Net",50,4,2,0,0,0,0,0,0,0,,""
"Grays Harbor Estuary Net",50,5,2,1487,0,0,0,0,0,0,,""
"Lower Chehalis R Net",52,4,2,2644,0,0,0,0,0,0,,""
"Lower Chehalis R Net",52,5,2,5144,0,0,0,0,0,0,,""
"Humptulips R Net",55,5,2,2111,0,0,0,0,0,0,,""
"Upper Chehalis R Net",56,5,2,1436,0,0,0,0,0,0,,""
"Quinault R Net",63,1,2,0,0,0,0,0,0,0,,""
"Quinault R Net",63,2,2,0,0,0,0,0,0,0,,""
"Quinault R Net",63,3,2,0,0,0,0,0,0,0,,""
"Quinault R Net",63,4,2,13609,0,0,0,0,0,0,,""
"Quinault R Net",63,5,2,17896,0,0,0,0,0,0,,""
"Queets R Net",68,3,2,0,0,0,0,0,0,0,,""
"Queets R Net",68,4,2,6349,0,0,0,0,0,0,,""
"Queets R Net",68,5,2,463,0,0,0,0,0,0,,""
"Queets R C&S",69,5,2,0,0,0,0,0,0,0,,""
"Quillayute R Net",71,4,2,1195,0,0,0,0,0,0,,""
"Quillayute R Net",71,5,2,4201,0,0,0,0,0,0,,""
"Quillayute R C&S",72,5,2,0,0,0,0,0,0,0,,""
"Hoh R Net",74,4,2,150,0,0,0,0,0,0,,""
"Hoh R Net",74,5,2,2048,0,0,0,0,0,0,,""
"Hoh R C&S",75,5,2,0,0,0,0,0,0,0,,""
"Makah Freshwater Net",77,5,1,3328.257,0,0,0,0,0,0,,""
"WA Area 4B-5-6C Non-Treaty Net",80,1,2,0,0,0,0,0,0,0,,""
"WA Area 4B-5-6C Non-Treaty Net",80,2,2,0,0,0,0,0,0,0,,""
"WA Area 4B-5-6C Non-Treaty Net",80,3,2,0,0,0,0,0,0,0,,""
"WA Area 4B-5-6C Non-Treaty Net",80,4,2,0,0,0,0,0,0,0,,""
"WA Area 4B-5-6C Non-Treaty Net",80,5,2,0,0,0,0,0,0,0,,""
"WA Area 4B-5-6C Treaty Net",81,1,2,0,0,0,0,0,0,0,,""
"WA Area 4B-5-6C Treaty Net",81,2,2,62,0,0,0,0,0,0,,""
"WA Area 4B-5-6C Treaty Net",81,3,2,517,0,0,0,0,0,0,,""
"WA Area 4B-5-6C Treaty Net",81,4,2,25,0,0,0,0,0,0,,""
"WA Area 4B-5-6C Treaty Net",81,5,2,667,0,0,0,0,0,0,,""
"6D Non-Treaty Net (Dungeness Bay & R)",82,4,2,582.2809,0,0,0,0,0,0,,""
"6D Non-Treaty Net (Dungeness Bay & R)",82,5,2,1772.0812,0,0,0,0,0,0,,""
"6D Treaty Net (Dungeness Bay & R)",83,4,2,485.8474,0,0,0,0,0,0,,""
"6D Treaty Net (Dungeness Bay & R)",83,5,2,703.2002,0,0,0,0,0,0,,""
"Elwha R Net",84,5,2,0,0,0,0,0,0,0,,""
"West JDF Straits Trib Net",85,5,2,0,0,0,0,0,0,0,,""
"WA Area 7-7A Treaty Net",88,2,2,0,0,0,0,0,0,0,,""
"WA Area 7-7A Treaty Net",88,3,28,529,1,0,1e-04,1e-04,1e-04,1e-04,,""
"WA Area 7-7A Treaty Net",88,4,28,1329,10,0,1e-04,1e-04,1e-04,1e-04,,""
"WA Area 7-7A Treaty Net",88,5,28,6969,100,0,1e-04,1e-04,1e-04,1e-04,,""
"WA Area 7B-7C-7D Non-Treaty Net",96,3,2,0,0,0,0,0,0,0,,""
"WA Area 7B-7C-7D Non-Treaty Net",96,4,2,4866.3599,0,0,0,0,0,0,,""
"WA Area 7B-7C-7D Non-Treaty Net",96,5,2,405.4433,0,0,0,0,0,0,,""
"WA Area 7B-7C-7D Treaty Net",97,3,2,0,0,0,0,0,0,0,,""
"WA Area 7B-7C-7D Treaty Net",97,4,2,16191.5776,0,0,0,0,0,0,,""
"WA Area 7B-7C-7D Treaty Net",97,5,2,2133.6192,0,0,0,0,0,0,,""
"Nooksack R Net",98,5,2,17220.8093,0,0,0,0,0,0,,""
"WA Area 8 Non-Treaty Net (Skagit)",101,3,2,0,0,0,0,0,0,0,,""
"WA Area 8 Non-Treaty Net (Skagit)",101,4,2,0,0,0,0,0,0,0,,""
"WA Area 8 Non-Treaty Net (Skagit)",101,5,2,0,0,0,0,0,0,0,,""
"WA Area 8 Treaty Net (Skagit)",102,3,2,0,0,0,0,0,0,0,,""
"WA Area 8 Treaty Net (Skagit)",102,4,2,235.7375,0,0,0,0,0,0,,""
"WA Area 8 Treaty Net (Skagit)",102,5,2,150.9529,0,0,0,0,0,0,,""
"Skagit R Net",103,5,2,7815.7649,0,0,0,0,0,0,,""
"Skagit River Test Net",104,5,2,1215.4225,0,0,0,0,0,0,,""
"Swinomish Channel Net",105,5,2,0,0,0,0,0,0,0,,""
"WA Area 8A Non-Treaty Net",109,3,2,0,0,0,0,0,0,0,,""
"WA Area 8A Non-Treaty Net",109,4,2,62.4997,0,0,0,0,0,0,,""
"WA Area 8A Non-Treaty Net",109,5,2,0,0,0,0,0,0,0,,""
"WA Area 8A Treaty Net",110,3,2,0,0,0,0,0,0,0,,""
"WA Area 8A Treaty Net",110,4,2,10718.1198,0,0,0,0,0,0,,""
"WA Area 8A Treaty Net",110,5,2,6664.3496,0,0,0,0,0,0,,""
"WA Area 8D Non-Treaty Net (Tulalip Bay)",111,4,2,182.6139,0,0,0,0,0,0,,""
"WA Area 8D Non-Treaty Net (Tulalip Bay)",111,5,2,334.9971,0,150,0,0,0,0,,""
"WA Area 8D Treaty Net (Tulalip Bay)",112,4,2,16536.5041,0,0,0,0,0,0,,""
"WA Area 8D Treaty Net (Tulalip Bay)",112,5,2,8404.3549,0,0,0,0,0,0,,""
"Stillaguamish R Net",113,5,2,1600,0,0,0,0,0,0,,""
"Snohomish R Net",114,5,2,0,0,0,0,0,0,0,,""
"WA Area 10 Non-Treaty Net (Seattle)",119,3,2,0,0,0,0,0,0,0,,""
"WA Area 10 Non-Treaty Net (Seattle)",119,4,2,45.0269,0,0,0,0,0,0,,""
"WA Area 10 Non-Treaty Net (Seattle)",119,5,2,246.6467,0,0,0,0,0,0,,""
"WA Area 10 Treaty Net (Seattle)",120,3,2,0,0,0,0,0,0,0,,""
"WA Area 10 Treaty Net (Seattle)",120,4,2,2046,0,0,0,0,0,0,,""
"WA Area 10 Treaty Net (Seattle)",120,5,2,597.5,0,0,0,0,0,0,,""
"WA Area 10A Non-Treaty Net (Elliott Bay)",121,4,2,0,0,0,0,0,0,0,,""
"WA Area 10A Non-Treaty Net (Elliott Bay)",121,5,2,0,0,0,0,0,0,0,,""
"WA Area 10A Treaty Net (Elliott Bay)",122,4,2,1229.7042,0,0,0,0,0,0,,""
"WA Area 10A Treaty Net (Elliott Bay)",122,5,2,55.2262,0,0,0,0,0,0,,""
"WA Area 10E Treaty Net (East Kitsap)",124,4,2,213.3886,0,0,0,0,0,0,,""
"WA Area 10E Treaty Net (East Kitsap)",124,5,2,323.793,0,0,0,0,0,0,,""
"WA Area 10F-G Treaty Net (Lake Union)",125,3,2,0,0,0,0,0,0,0,,""
"WA Area 10F-G Treaty Net (Lake Union)",125,4,2,2965.9986,0,0,0,0,0,0,,""
"WA Area 10F-G Treaty Net (Lake Union)",125,5,2,1499.1254,0,0,0,0,0,0,,""
"Green/Duwamish R Net",126,5,2,17856.4824,0,0,0,0,0,0,,""
"WA Area 11 Non-Treaty Net (E/W Pass)",130,4,2,0,0,0,0,0,0,0,,""
