Person Name:JS
FRAM Run Name:BkCoho18 01
FRAM Run ID:385
FRAM DB Name:C:\Users\obrienm\Desktop\git_src\PSC-FRAM-Admin\fram db\devloping BK2018 - test.mdb
-------------------------------------------------------------
"fram.fishery.id","fram.time.step","fishery.flag","nonselective.catch","msf.catch","cnr.mortalities","mark.release.rate","mark.missid.rate","unmark.missid.rate","mark.incidental.rate","comment.cnr","comment.catch","fram.fishery.name"
167,5,2,3491,0,0,0,0,0,0,,,"Lower Fraser R Term Catch"
168,5,2,485,0,0,0,0,0,0,,,"Upper Fraser R Term Catch"
169,1,1,0,0,0,0.26,0.03,0.02,0.05,,,"Lower Fraser River Sport"
169,2,1,0,0,0,0.26,0.03,0.02,0.05,,,"Lower Fraser River Sport"
169,3,1,0,0,0,0.26,0.03,0.02,0.05,,,"Lower Fraser River Sport"
169,4,1,0,0,24,0.26,0.03,0.02,0.05,,,"Lower Fraser River Sport"
169,5,7,0,282.4711,185,0.26,0.03,0.02,0.05,,,"Lower Fraser River Sport"
170,1,1,0,0,0,0.26,0.03,0.02,0.05,,,"Johnstone Strait Troll"
170,2,1,0,0,0,0.26,0.03,0.02,0.05,,,"Johnstone Strait Troll"
170,3,1,0,0,0,0.26,0.03,0.02,0.05,,,"Johnstone Strait Troll"
170,4,1,0,0,0,0.26,0.03,0.02,0.05,,,"Johnstone Strait Troll"
170,5,1,0,0,0,0.26,0.03,0.02,0.05,,,"Johnstone Strait Troll"
171,1,1,0,0,1000,0,0,0,0,,,"BC Northern Troll"
171,2,1,145268.5945,0,1394,0,0,0,0,,,"BC Northern Troll"
171,3,1,46188.6989,0,7,0,0,0,0,,,"BC Northern Troll"
171,4,1,10627.826,0,9,0,0,0,0,,,"BC Northern Troll"
171,5,1,0,0,0,0,0,0,0,,,"BC Northern Troll"
172,1,1,0,0,0,0,0,0,0,,,"BC North Central Troll"
172,2,1,0,0,0,0,0,0,0,,,"BC North Central Troll"
172,3,1,3130.2106,0,0,0,0,0,0,,,"BC North Central Troll"
172,4,1,0,0,0,0,0,0,0,,,"BC North Central Troll"
173,1,1,0,0,0,0,0,0,0,,,"BC South Central Troll"
173,2,1,0,0,0,0,0,0,0,,,"BC South Central Troll"
173,3,1,0,0,0,0,0,0,0,,,"BC South Central Troll"
173,4,1,0,0,0,0,0,0,0,,,"BC South Central Troll"
174,1,1,0,0,9,0.26,0.03,0.02,0.05,,,"NW Vancouver Island Troll"
174,2,7,0,155.6181,162,0.26,0.03,0.02,0.05,,,"NW Vancouver Island Troll"
174,3,7,0,4.5445,237,0.26,0.03,0.02,0.05,,,"NW Vancouver Island Troll"
174,4,7,0,74.5602,109,0.26,0.03,0.02,0.05,,,"NW Vancouver Island Troll"
175,1,7,0,0.7453,0,0.26,0.03,0.02,0.05,,,"SW Vancouver Island Troll"
175,2,7,0,19.4232,0,0.26,0.03,0.02,0.05,,,"SW Vancouver Island Troll"
175,3,7,0,209.8425,85,0.26,0.03,0.02,0.05,,,"SW Vancouver Island Troll"
175,4,7,0,411.2509,46,0.26,0.03,0.02,0.05,,,"SW Vancouver Island Troll"
176,1,1,0,0,0,0.26,0.03,0.02,0.05,,,"Georgia Straits Troll"
176,2,1,0,0,0,0.26,0.03,0.02,0.05,,,"Georgia Straits Troll"
176,3,1,0,0,0,0.26,0.03,0.02,0.05,,,"Georgia Straits Troll"
176,4,1,0,0,0,0.26,0.03,0.02,0.05,,,"Georgia Straits Troll"
176,5,1,0,0,0,0.26,0.03,0.02,0.05,,,"Georgia Straits Troll"
177,2,1,0,0,0,0.26,0.03,0.02,0.05,,,"BC Juan de Fuca Troll"
177,3,1,0,0,0,0.26,0.03,0.02,0.05,,,"BC Juan de Fuca Troll"
177,4,1,0,0,0,0.26,0.03,0.02,0.05,,,"BC Juan de Fuca Troll"
178,1,1,0,0,0,0,0,0,0,,,"BC Northern Net"
178,2,1,712.3864,0,1043,0,0,0,0,,,"BC Northern Net"
178,3,1,29036.2704,0,614,0,0,0,0,,,"BC Northern Net"
178,4,1,8489.1783,0,39,0,0,0,0,,,"BC Northern Net"
178,5,1,0,0,0,0,0,0,0,,,"BC Northern Net"
179,2,1,0,0,0,0,0,0,0,,,"BC Central Net"
179,3,1,0,0,0,0,0,0,0,,,"BC Central Net"
179,4,1,0,0,0,0,0,0,0,,,"BC Central Net"
179,5,1,0,0,0,0,0,0,0,,,"BC Central Net"
180,4,1,0,0,0,0.05,0.03,0.02,0.05,,,"NW Vancouver Island Net"
180,5,1,0,0,24,0.05,0.03,0.02,0.05,,,"NW Vancouver Island Net"
181,1,1,0,0,1,0.05,0.03,0.02,0.05,,,"SW Vancouver Island Net"
181,2,1,0,0,35,0.05,0.03,0.02,0.05,,,"SW Vancouver Island Net"
181,3,1,0,0,4,0.05,0.03,0.02,0.05,,,"SW Vancouver Island Net"
181,4,1,0,0,1117,0.05,0.03,0.02,0.05,,,"SW Vancouver Island Net"
181,5,1,0,0,60,0.05,0.03,0.02,0.05,,,"SW Vancouver Island Net"
182,2,1,0,0,0,0.05,0.03,0.02,0.05,,,"Johnstone Straits Net"
182,3,1,0,0,0,0.05,0.03,0.02,0.05,,,"Johnstone Straits Net"
182,4,1,0,0,0,0.05,0.03,0.02,0.05,,,"Johnstone Straits Net"
182,5,1,0,0,440,0.05,0.03,0.02,0.05,,,"Johnstone Straits Net"
183,2,1,0,0,0,0.05,0.03,0.02,0.05,,,"Georgia Straits Net"
183,3,1,0,0,0,0.05,0.03,0.02,0.05,,,"Georgia Straits Net"
183,4,1,0,0,0,0.05,0.03,0.02,0.05,,,"Georgia Straits Net"
183,5,1,0,0,90,0.05,0.03,0.02,0.05,,,"Georgia Straits Net"
184,2,1,0,0,0,0,0,0,0,,,"Fraser R Gill Net"
184,3,1,20.3735,0,70,0,0,0,0,,,"Fraser R Gill Net"
184,4,1,11.8984,0,264,0,0,0,0,,,"Fraser R Gill Net"
184,5,1,0,0,0,0,0,0,0,,,"Fraser R Gill Net"
185,1,1,0,0,0,0.05,0.03,0.02,0.05,,,"BC Juan de Fuca Net"
185,2,1,0,0,0,0.05,0.03,0.02,0.05,,,"BC Juan de Fuca Net"
185,3,1,0,0,0,0.05,0.03,0.02,0.05,,,"BC Juan de Fuca Net"
185,4,1,0,0,0,0.05,0.03,0.02,0.05,,,"BC Juan de Fuca Net"
185,5,1,0,0,0,0.05,0.03,0.02,0.05,,,"BC Juan de Fuca Net"
186,1,7,0,76.5582,0,0.05,0.03,0.02,0.05,,,"Johnstone Strait Sport"
186,2,7,0,1406.7051,0,0.05,0.03,0.02,0.05,,,"Johnstone Strait Sport"
186,3,7,0,977.6576,0,0.05,0.03,0.02,0.05,,,"Johnstone Strait Sport"
187,1,1,8111.8445,0,279,0,0,0,0,,,"BC Northern Sport"
187,2,1,34208.7059,0,1080,0,0,0,0,,,"BC Northern Sport"
187,3,1,26406.3147,0,982,0,0,0,0,,,"BC Northern Sport"
187,4,1,3179.7567,0,210,0,0,0,0,,,"BC Northern Sport"
188,1,1,134.7528,0,0,0,0,0,0,,,"BC Central Sport"
188,2,1,1514.0397,0,0,0.05,0.03,0.02,0.05,,,"BC Central Sport"
188,3,1,6853.5349,0,0,0.05,0.03,0.02,0.05,,,"BC Central Sport"
188,4,1,559.8321,0,0,0,0,0,0,,,"BC Central Sport"
189,1,7,0,75.6817,0,0.05,0.03,0.02,0.05,,,"BC Juan de Fuca Sport"
189,2,7,0,205.0642,0,0.05,0.03,0.02,0.05,,,"BC Juan de Fuca Sport"
189,3,7,0,1640.9116,0,0.05,0.03,0.02,0.05,,,"BC Juan de Fuca Sport"
189,4,7,0,3009.9526,0,0.05,0.03,0.02,0.05,,,"BC Juan de Fuca Sport"
189,5,1,0,0,0,0.05,0.03,0.02,0.05,,,"BC Juan de Fuca Sport"
190,1,17,459.8605,344.3209,194,0.05,0.03,0.02,0.05,,,"West Coast Vanc Is Sport"
190,2,17,4611.4849,1381.2932,1609,0.05,0.03,0.02,0.05,,,"West Coast Vanc Is Sport"
190,3,17,7684.0261,1373.0759,1065,0.05,0.03,0.02,0.05,,,"West Coast Vanc Is Sport"
190,4,17,2714.8833,213.3342,249,0.05,0.03,0.02,0.05,,,"West Coast Vanc Is Sport"
191,1,7,0,509.0058,0,0.05,0.03,0.02,0.05,,,"North Georgia Straits Sport"
191,2,7,0,2291.318,0,0.05,0.03,0.02,0.05,,,"North Georgia Straits Sport"
191,3,7,0,1327.3078,0,0.05,0.03,0.02,0.05,,,"North Georgia Straits Sport"
191,4,7,0,2145.4031,0,0.05,0.03,0.02,0.05,,,"North Georgia Straits Sport"
191,5,1,0,0,0,0.05,0.03,0.02,0.05,,,"North Georgia Straits Sport"
192,1,7,0,324.0225,0,0.05,0.03,0.02,0.05,,,"South Georgia Straits Sport"
192,2,7,0,413.2915,0,0.05,0.03,0.02,0.05,,,"South Georgia Straits Sport"
192,3,7,0,265.8154,0,0.05,0.03,0.02,0.05,,,"South Georgia Straits Sport"
192,4,7,0,325.4531,0,0.05,0.03,0.02,0.05,,,"South Georgia Straits Sport"
192,5,1,0,0,0,0.05,0.03,0.02,0.05,,,"South Georgia Straits Sport" 
-------------------------------------------------------------
"fram.stock.name","fram.stock.id","escapement.flag","target.escapement","recruit.scalar","comment"
"Georgia Strait Mainland Hatchery UnMarked",205,0,0,0,
"Georgia Strait Mainland Hatchery Marked",206,0,0,0.1514,
"Georgia Strait Mainland Wild UnMarked",207,0,0,0.0392,
"Georgia Strait Mainland Wild Marked",208,0,0,0,
"Georgia Strait Vanc. Isl. Hatchery UnMarked",209,0,0,0.0022,
"Georgia Strait Vanc. Isl. Hatchery Marked",210,0,0,0.0182,
"Georgia Strait Vanc. Isl. Wild UnMarked",211,0,0,0.0392,
"Georgia Strait Vanc. Isl. Wild Marked",212,0,0,0,
"Johnstone Strait Hatchery UnMarked",213,0,0,0.001,
"Johnstone Strait Hatchery Marked",214,0,0,0.0468,
"Johnstone Strait Wild UnMarked",215,0,0,0.0392,
"Johnstone Strait Wild Marked",216,0,0,0,
"SW Vancouver Island Hatchery UnMarked",217,0,0,0,
"SW Vancouver Island Hatchery Marked",218,0,0,0.2935,
"SW Vancouver Island Wild UnMarked",219,0,0,0.0252,
"SW Vancouver Island Wild Marked",220,0,0,0,
"NW Vancouver Island Hatchery UnMarked",221,0,0,0,
"NW Vancouver Island Hatchery Marked",222,0,0,1.0533,
"NW Vancouver Island Wild UnMarked",223,0,0,0.0252,
"NW Vancouver Island Wild Marked",224,0,0,0,
"Lower Fraser River Hatchery UnMarked",225,0,0,0,
"Lower Fraser River Hatchery Marked",226,0,0,0.2279,
"Lower Fraser River Wild UnMarked",227,0,0,0.2279,
"Lower Fraser River Wild Marked",228,0,0,0,
"Upper Fraser River Hatchery UnMarked",229,0,0,0.0094,
"Upper Fraser River Hatchery Marked",230,0,0,0.0297,
"Upper Fraser River Wild UnMarked",231,0,0,0.3211,
"Upper Fraser River Wild Marked",232,0,0,0,
"BC Central Coast Hatchery/Wild UnMarked",233,0,0,0.8147,
"BC Central Coast Hatchery/Wild Marked",234,0,0,0,
"BC North Coast Hatchery/Wild UnMarked",235,0,0,2.737,
"BC North Coast Hatchery/Wild Marked",236,0,0,0.1144,
"Trans Boundary Hatchery/Wild UnMarked",237,0,0,2.737,
"Trans Boundary Hatchery/Wild Marked",238,0,0,0.1144, 
