Person Name:ML
FRAM Run Name:BkCoho18 01
FRAM Run ID:385
FRAM DB Name:C:\Users\obrienm\Desktop\git_src\PSC-FRAM-Admin\fram db\devloping BK2018 - test.mdb
-------------------------------------------------------------
"fram.fishery.id","fram.time.step","fishery.flag","nonselective.catch","msf.catch","cnr.mortalities","mark.release.rate","mark.missid.rate","unmark.missid.rate","mark.incidental.rate","comment.cnr","comment.catch","fram.fishery.name"
23,2,1,0,0,0,0,0,0,0,,,"Col. Rvr. Buoy 10 Sport"
23,3,1,0,0,0,0,0,0,0,,,"Col. Rvr. Buoy 10 Sport"
23,4,8,0,25000,0,0.14,0.06,0.02,0.05,,,"Col. Rvr. Buoy 10 Sport"
23,5,1,0,0,0,0,0,0,0,,,"Col. Rvr. Buoy 10 Sport"
24,5,1,407.3035,0,0,0,0,0,0,,,"Col. Rvr. Lower R Sport"
25,4,1,0,0,0,0,0,0,0,,,"Col. Rvr. Lower R Net"
25,5,1,75238.8094,0,0,0,0,0,0,,,"Col. Rvr. Lower R Net"
26,4,1,0,0,0,0,0,0,0,,,"Col. Rvr. Youngs Bay Net"
26,5,1,14451.369,0,0,0,0,0,0,,,"Col. Rvr. Youngs Bay Net"
27,5,1,1310.1415,0,0,0,0,0,0,,,"Col. Rvr. Ore Trib Spt"
28,5,1,374.8501,0,0,0,0,0,0,,,"Clackamas R Sport"
29,5,1,703.9296,0,0,0,0,0,0,,,"Sandy R Sport"
30,5,1,3258.2876,0,0,0,0,0,0,,,"Col. Rvr. Wash Trib Spt"
31,5,1,0,0,0,0,0,0,0,,,"Col. Rvr. Sport Above Bonneville"
32,4,1,0,0,0,0,0,0,0,,,"Col. Rvr. Net Above Bonneville"
32,5,1,0,0,0,0,0,0,0,,,"Col. Rvr. Net Above Bonneville"
33,1,8,0,993,0,0.14,0.06,0.02,0.05,,,"WA Area 1 & Astoria Sport"
33,2,8,0,4473,0,0.14,0.06,0.02,0.05,,,"WA Area 1 & Astoria Sport"
33,3,8,0,14677,0,0.14,0.06,0.02,0.05,,,"WA Area 1 & Astoria Sport"
33,4,8,0,857,0,0.14,0.06,0.02,0.05,,,"WA Area 1 & Astoria Sport"
34,1,2,0,0,1490,0,0,0,0,,,"WA Area 1 & Astoria Troll"
34,2,8,0,606,0,0.26,0.06,0.02,0.05,,,"WA Area 1 & Astoria Troll"
34,3,8,0,544,0,0.26,0.06,0.02,0.05,,,"WA Area 1 & Astoria Troll"
34,4,8,0,1038,0,0.26,0.06,0.02,0.05,,,"WA Area 1 & Astoria Troll"
34,5,1,0,0,0,0,0,0,0,,,"WA Area 1 & Astoria Troll"
35,1,2,0,0,860,0,0,0,0,,,"WA Area 2 Non-Treaty Troll"
35,2,8,0,669,0,0.26,0.06,0.02,0.05,,,"WA Area 2 Non-Treaty Troll"
